alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,222,61,0.492697464831971
0.5,0.5,1,0.99,10,20,222,62,0.492697464831971
0.5,0.5,1,0.99,10,20,222,63,0.492697464831971
0.5,0.5,1,0.99,10,20,222,64,0.492697464831971
0.5,0.5,1,0.99,10,20,222,65,0.492697464831971
0.5,0.5,1,0.99,10,20,222,66,0.492697464831971
0.5,0.5,1,0.99,10,20,222,67,0.492697464831971
0.5,0.5,1,0.99,10,20,222,68,0.492697464831971
0.5,0.5,1,0.99,10,20,222,69,0.492697464831971
0.5,0.5,1,0.99,10,20,222,70,0.492697464831971
0.5,0.5,1,0.99,10,20,222,71,0.492697464831971
0.5,0.5,1,0.99,10,20,222,72,0.492697464831971
0.5,0.5,1,0.99,10,20,222,73,0.492697464831971
0.5,0.5,1,0.99,10,20,222,74,0.492697464831971
0.5,0.5,1,0.99,10,20,222,75,0.492697464831971
0.5,0.5,1,0.99,10,20,222,76,0.492697464831971
0.5,0.5,1,0.99,10,20,222,77,0.492697464831971
0.5,0.5,1,0.99,10,20,222,78,0.492697464831971
0.5,0.5,1,0.99,10,20,222,79,0.492697464831971
0.5,0.5,1,0.99,10,20,222,80,0.492697464831971
0.5,0.5,1,0.99,10,20,222,81,0.492697464831971
0.5,0.5,1,0.99,10,20,222,82,0.492697464831971
0.5,0.5,1,0.99,10,20,222,83,0.492697464831971
0.5,0.5,1,0.99,10,20,222,84,0.492697464831971
0.5,0.5,1,0.99,10,20,222,85,0.492697464831971
0.5,0.5,1,0.99,10,20,222,86,0.492697464831971
0.5,0.5,1,0.99,10,20,222,87,0.492697464831971
0.5,0.5,1,0.99,10,20,222,88,0.492697464831971
0.5,0.5,1,0.99,10,20,222,89,0.492697464831971
0.5,0.5,1,0.99,10,20,222,90,0.492697464831971
0.5,0.5,1,0.99,10,20,222,91,0.492697464831971
0.5,0.5,1,0.99,10,20,222,92,0.492697464831971
0.5,0.5,1,0.99,10,20,222,93,0.492697464831971
0.5,0.5,1,0.99,10,20,222,94,0.492697464831971
0.5,0.5,1,0.99,10,20,222,95,0.492697464831971
0.5,0.5,1,0.99,10,20,222,96,0.492697464831971
0.5,0.5,1,0.99,10,20,222,97,0.492697464831971
0.5,0.5,1,0.99,10,20,222,98,0.492697464831971
0.5,0.5,1,0.99,10,20,222,99,0.492697464831971
0.5,0.5,1,0.99,10,20,222,100,0.492697464831971
